restaurant_title,restaurant_phoneNumber,restaurant_address,restaurant_numReview,restaurant_starCount,restaurant_price,restaurant_category,restaurant_district,restaurant_web
Atrium Dumbo,(718) 858-1095,15 Main St,650,3.5,$$,"['American (New)', 'French']",DUMBO,https://www.yelp.com/biz/atrium-dumbo-brooklyn?osq=Restaurants
nonono,(646) 707-3227,118 Madison Ave,496,4.5,$$,"['Tapas/Small Plates', 'Izakaya', 'Ramen']",Midtown East,https://www.yelp.com/biz/nonono-new-york-6?osq=Restaurants
Joe’s Shanghai,(212) 233-8888,9 Pell St,5928,4,$$,"['Shanghainese', 'Seafood']",Chinatown,https://www.yelp.com/biz/joes-shanghai-new-york-2?osq=Restaurants
Gelso & Grand,(212) 226-1600,186 Grand St,832,4.5,$$,"['Italian', 'Pasta Shops', 'Pizza']",Little Italy,https://www.yelp.com/biz/gelso-and-grand-new-york?osq=Restaurants
BoCaphe,(646) 882-1939,222 Lafayette St,1282,4,$$,"['Vietnamese', 'Breakfast & Brunch', 'French']",SoHo,https://www.yelp.com/biz/bocaph%C3%AA-new-york-3?osq=Restaurants
Salt + Charcoal,(718) 782-2087,171 Grand St,409,4,$$,"['Japanese', 'Asian Fusion', 'Steakhouses']",Williamsburg - South Side,https://www.yelp.com/biz/salt-charcoal-brooklyn?osq=Restaurants
Soco,(718) 783-1936,509 Myrtle Ave,2056,4,$$,"['Cajun/Creole', 'Barbeque', 'Soul Food']",Clinton Hill,https://www.yelp.com/biz/soco-brooklyn?osq=Restaurants
Alta,(212) 505-7777,64 W 10th St,1843,4,$$$,"['Tapas Bars', 'Mediterranean', 'Spanish']",Greenwich Village,https://www.yelp.com/biz/alta-new-york?osq=Restaurants
Paesano of Mulberry Street,(212) 965-1188,136 Mulberry St,784,4,$$,"['Italian', 'Salad', 'Seafood']",Little Italy,https://www.yelp.com/biz/paesano-of-mulberry-street-new-york?osq=Restaurants
District Social,(212) 994-9599,252 W 37th St,633,4,$$,"['Bars', 'American (New)']",Midtown West,https://www.yelp.com/biz/district-social-new-york?osq=Restaurants
Carmine’s Italian Restaurant - Times Square,(212) 221-3800,200 W 44th St,3572,4,$$,"['Italian', 'Caterers', 'Venues & Event Spaces']",Theater District,https://www.yelp.com/biz/carmines-italian-restaurant-times-square-new-york-5?osq=Restaurants
Juliana’s Pizza,(718) 596-6700,19 Old Fulton St,2075,4.5,$$,['Pizza'],DUMBO,https://www.yelp.com/biz/julianas-pizza-brooklyn-5?osq=Restaurants
Olio e Piú,(212) 243-6546,3 Greenwich Ave,1947,4,$$,"['Pizza', 'Italian', 'Breakfast & Brunch']",West Village,https://www.yelp.com/biz/olio-e-pi%C3%BA-new-york-3?osq=Restaurants
Juanchi’s Burger,(929) 295-0147,225 S 1st St,360,4.5,$$,"['Gastropubs', 'Burgers']",Williamsburg - South Side,https://www.yelp.com/biz/juanchis-burger-brooklyn?osq=Restaurants
Da Andrea,(212) 367-1979,35 W 13th St,722,4,$$,['Italian'],Greenwich Village,https://www.yelp.com/biz/da-andrea-new-york?osq=Restaurants
Favor Taste,(646) 682-9162,285 Grand St,1720,4,$$,"['Chinese', 'Hot Pot', 'Barbeque']",Lower East Side,https://www.yelp.com/biz/99-favor-taste-new-york-12?osq=Restaurants
The MasalaWala,(212) 358-9300,179 Essex St,1412,4.5,$$,"['Indian', 'Pakistani']",Lower East Side,https://www.yelp.com/biz/the-masalawala-new-york-2?osq=Restaurants
TONCHIN NEW YORK,(646) 692-9912,13 W 36th St,903,4.5,$$,"['Ramen', 'Izakaya']",Midtown West,https://www.yelp.com/biz/tonchin-new-york-new-york?osq=Restaurants
Café China,(212) 213-2810,13 E 37th St,1539,4,$$,['Szechuan'],Midtown East,https://www.yelp.com/biz/caf%C3%A9-china-new-york-2?osq=Restaurants
Antica Ristorante,(212) 480-3880,8 Stone St,481,4.5,$$$,['Italian'],Financial District,https://www.yelp.com/biz/antica-ristorante-new-york?osq=Restaurants
Win Son,(347) 457-6010,159 Graham Ave,412,4.5,$$,"['Taiwanese', 'American (New)', 'Asian Fusion']",East Williamsburg,https://www.yelp.com/biz/win-son-brooklyn-4?osq=Restaurants
Pio Pio 8,(212) 459-2929,604 10th Ave,2281,4,$$,"['Latin American', 'Peruvian']",Hell's Kitchen,https://www.yelp.com/biz/pio-pio-8-new-york-5?osq=Restaurants
Toloache 50,(212) 581-1818,251 West 50th St,1862,4,$$,['Mexican'],Theater District,https://www.yelp.com/biz/toloache-50-new-york?osq=Restaurants
Havana Central,(929) 314-1741,151 W 46th St,2169,4,$$,"['Cuban', 'Latin American']",Theater District,https://www.yelp.com/biz/havana-central-new-york-6?osq=Restaurants
Up Thai,(212) 256-1188,1411 2nd Ave,2112,4.5,$$,"['Thai', 'Asian Fusion']",Upper East Side,https://www.yelp.com/biz/up-thai-new-york?osq=Restaurants
Mominette,(929) 234-2941,221 Knickerbocker Ave,643,4,$$,"['French', 'Cocktail Bars', 'Seafood']",Bushwick,https://www.yelp.com/biz/mominette-brooklyn?osq=Restaurants
Tonkatsu Matsunoya,(646) 692-8143,131 E 45th St,356,4,$$,['Japanese'],Midtown East,https://www.yelp.com/biz/tonkatsu-matsunoya-new-york?osq=Restaurants
Ootoya Chelsea,(212) 255-0018,8 W 18th St,1346,4,$$,"['Japanese', 'Sushi Bars']",Flatiron,https://www.yelp.com/biz/ootoya-chelsea-new-york?osq=Restaurants
Zusik,(646) 370-5331,202 W14th St,73,5,$$,"['Korean', 'Beer Bar', 'Wine Bars']",West Village,https://www.yelp.com/biz/zusik-new-york-2?osq=Restaurants
Raku,(212) 228-1324,342 E 6th St,955,4.5,$$,"['Japanese', 'Noodles']",East Village,https://www.yelp.com/biz/raku-new-york-7?osq=Restaurants
Red Rooster Harlem,(212) 792-9001,310 Lenox Ave,3111,3.5,$$$,['American (Traditional)'],Harlem,https://www.yelp.com/biz/red-rooster-harlem-new-york-3?osq=Restaurants
Jongro BBQ,(212) 473-2233,22 W 32nd St,1773,4,$$,"['Korean', 'Barbeque', 'Beer Bar']",Koreatown,https://www.yelp.com/biz/jongro-bbq-new-york-3?osq=Restaurants
Katsu-Hama,(212) 758-5909,11 E 47th St,1227,4,$$,['Japanese'],Midtown East,https://www.yelp.com/biz/katsu-hama-new-york?osq=Restaurants
Chow House,(212) 837-1021,181 Bleecker St,313,4.5,$$,"['Chinese', 'Noodles', 'Soup']",Greenwich Village,https://www.yelp.com/biz/chow-house-new-york?osq=Restaurants
Pig and Khao,(212) 920-4485,68 Clinton St,1538,4,$$,"['Filipino', 'Thai', 'Asian Fusion']",Lower East Side,https://www.yelp.com/biz/pig-and-khao-new-york?osq=Restaurants
Root & Bone,(646) 682-7080,200 E 3rd St,1542,4,$$,"['Southern', 'Comfort Food', 'Desserts']",Alphabet City,https://www.yelp.com/biz/root-and-bone-new-york?osq=Restaurants
Baron’s,(718) 230-7100,564 Dekalb Ave,265,4.5,$$,"['American (New)', 'Bars', 'Seafood']",Bedford Stuyvesant,https://www.yelp.com/biz/barons-brooklyn?osq=Restaurants
The Boil,(212) 925-8815,139 Chrystie St,1838,4.5,$$,"['Cajun/Creole', 'Seafood', 'Live/Raw Food']",Lower East Side,https://www.yelp.com/biz/the-boil-new-york-3?osq=Restaurants
,(212) 267-3000,82 Reade St,304,4.5,$$,"['Cajun/Creole', 'Seafood', 'Bars']",TriBeCa,https://www.yelp.com/biz/1803-new-york?osq=Restaurants
Hutong,(212) 758-4800,731 Lexington Ave,106,4,$$$,"['Chinese', 'Cocktail Bars']",Midtown East,https://www.yelp.com/biz/hutong-new-york?osq=Restaurants
Spoonfed New York Country,(646) 593-8064,331 W 51st St,447,4,$$,"['Soul Food', 'Southern']",Theater District,https://www.yelp.com/biz/spoonfed-new-york-country-new-york-3?osq=Restaurants
Maharlika,(646) 392-7880,111 1st Ave,1476,4,$$,['Filipino'],East Village,https://www.yelp.com/biz/maharlika-new-york?osq=Restaurants
Maya,(212) 585-1818,1191 1st Ave,891,3.5,$$,['Mexican'],Upper East Side,https://www.yelp.com/biz/maya-new-york?osq=Restaurants
Claw Daddy’s,(347) 318-8893,31 3rd Ave,347,4,$$,"['Cajun/Creole', 'Seafood']",Boerum Hill,https://www.yelp.com/biz/claw-daddys-brooklyn?osq=Restaurants
Pepe Rosso Social,(212) 219-0019,173 Mott St,806,4,$$,['Italian'],Little Italy,https://www.yelp.com/biz/pepe-rosso-social-new-york-2?osq=Restaurants
Balzem,(646) 837-7033,202 Mott St,412,4,$$,"['Mediterranean', 'Tapas/Small Plates', 'Wine Bars']",Nolita,https://www.yelp.com/biz/balzem-new-york?osq=Restaurants
Les Enfants de Boheme,(646) 476-4843,177 Henry St,221,4.5,$$,"['French', 'Cocktail Bars', 'Wine Bars']",Lower East Side,https://www.yelp.com/biz/les-enfants-de-boheme-new-york?osq=Restaurants
Piccola Cucina Osteria,(646) 478-7488,196 Spring St,471,4.5,$$,['Italian'],South Village,https://www.yelp.com/biz/piccola-cucina-osteria-new-york?osq=Restaurants
L’Artusi,(212) 255-5757,228 W 10th St,1750,4.5,$$$,"['Italian', 'Cocktail Bars']",West Village,https://www.yelp.com/biz/l-artusi-new-york?osq=Restaurants
Fishmarket Restaurant,(917) 363-8101,111 South St,532,4.5,$$,"['Seafood', 'Chinese', 'Asian Fusion']",South Street Seaport,https://www.yelp.com/biz/fishmarket-restaurant-new-york?osq=Restaurants
Peter Luger,(718) 387-7400,178 Broadway,5519,4,$$$$,['Steakhouses'],Williamsburg - South Side,https://www.yelp.com/biz/peter-luger-brooklyn-2?osq=Restaurants
Hwa Yuan,(212) 966-6002,42 E Broadway,212,4,$$$,['Szechuan'],Chinatown,https://www.yelp.com/biz/hwa-yuan-new-york-2?osq=Restaurants
Thursday Kitchen,424 E 9th St,East Village,1237,4.5,$$,"['Korean', 'American (New)', 'Tapas/Small Plates']",East Village,https://www.yelp.com/biz/thursday-kitchen-new-york?osq=Restaurants
Celestine,(718) 522-5356,1 John St,196,4,$$$,"['Mediterranean', 'Bars']",DUMBO,https://www.yelp.com/biz/celestine-brooklyn?osq=Restaurants
Casa Enrique,(347) 448-6040,5-48 49th Ave,1121,4,$$,['Mexican'],Hunters Point,https://www.yelp.com/biz/casa-enrique-long-island-city?osq=Restaurants
Roberta’s,(718) 417-1118,261 Moore St,2724,4,$$,"['Pizza', 'Italian']",East Williamsburg,https://www.yelp.com/biz/robertas-brooklyn-2?osq=Restaurants
City Vineyard,(347) 349-1204,233 West St,742,4,$$,"['Wine Bars', 'American (New)', 'Venues & Event Spaces']",233 West St,https://www.yelp.com/biz/city-vineyard-new-york?osq=Restaurants
Otis,(646) 886-0601,18 Harrison Pl,236,5,$$,"['American (New)', 'Cocktail Bars']",East Williamsburg,https://www.yelp.com/biz/otis-brooklyn-2?osq=Restaurants
Peaches HotHouse,(718) 483-9111,415 Tompkins Ave,1112,4,$$,"['Southern', 'American (Traditional)', 'Bars']",Bedford Stuyvesant,https://www.yelp.com/biz/peaches-hothouse-brooklyn?osq=Restaurants
Red Hook Lobster Pound,(718) 858-7650,284 Van Brunt St,1032,4,$$,['Seafood'],Red Hook,https://www.yelp.com/biz/red-hook-lobster-pound-brooklyn?osq=Restaurants
XYST,(212) 727-2979,44 West 17th St,272,4.5,$$,"['Vegan', 'Mediterranean', 'Vegetarian']",Flatiron,https://www.yelp.com/biz/xyst-new-york-2?osq=Restaurants
Boucherie Union Square,(800) 437-6189,225 Park Ave S,596,4.5,$$$,"['Steakhouses', 'French', 'Cocktail Bars']",Gramercy,https://www.yelp.com/biz/boucherie-union-square-new-york?osq=Restaurants
China Blue,(212) 431-0111,135 Watts St,663,4,$$,"['Shanghainese', 'Dim Sum']",TriBeCa,https://www.yelp.com/biz/china-blue-new-york?osq=Restaurants
The Smith,(212) 644-2700,956 2nd Ave,2489,4,$$,"['American (New)', 'Breakfast & Brunch', 'Cocktail Bars']",Midtown East,https://www.yelp.com/biz/the-smith-new-york-2?osq=Restaurants
Jora Restaurant & Bar,(718) 392-2033,47-46 11th St,552,4.5,$$,"['Peruvian', 'Cocktail Bars', 'Tapas Bars']",Hunters Point,https://www.yelp.com/biz/jora-restaurant-and-bar-long-island-city?osq=Restaurants
The Osprey,(929) 414-0012,60 Furman St,169,4,$$,['American (New)'],60 Furman St,https://www.yelp.com/biz/the-osprey-brooklyn?osq=Restaurants
Wok Wok,(646) 921-7406,11 Mott St,863,4,$$,"['Chinese', 'Malaysian', 'Thai']",Chinatown,https://www.yelp.com/biz/wok-wok-new-york?osq=Restaurants
Dun Huang - East Village,(212) 254-3817,300 E 12th St,247,4.5,$$,"['Chinese', 'Barbeque', 'Noodles']",East Village,https://www.yelp.com/biz/dun-huang-east-village-new-york-8?osq=Restaurants
Brindle Room,(212) 529-9702,277 E 10th St,998,4,$$,"['American (New)', 'Bars', 'Breakfast & Brunch']",East Village,https://www.yelp.com/biz/brindle-room-new-york?osq=Restaurants
Lilia,(718) 576-3095,567 Union Ave,722,4,$$$,"['Italian', 'Cocktail Bars']",Williamsburg - North Side,https://www.yelp.com/biz/lilia-brooklyn?osq=Restaurants
Oxomoco,(646) 688-4180,128 Greenpoint Ave,231,4,$$$,['Mexican'],Greenpoint,https://www.yelp.com/biz/oxomoco-brooklyn-2?osq=Restaurants
Gramercy Tavern,(212) 477-0777,42 E 20th St,2810,4.5,$$$$,['American (New)'],Flatiron,https://www.yelp.com/biz/gramercy-tavern-new-york?osq=Restaurants
Cafe Mogador,(718) 486-9222,133 Wythe Ave,1129,4.5,$$,"['Moroccan', 'Breakfast & Brunch', 'Mediterranean']",Williamsburg - North Side,https://www.yelp.com/biz/cafe-mogador-brooklyn?osq=Restaurants
Las Ramblas,(646) 415-7924,170 W 4th St,703,4,$$,['Tapas/Small Plates'],West Village,https://www.yelp.com/biz/las-ramblas-new-york?osq=Restaurants
Emily,(347) 844-9588,919 Fulton St,726,4,$$$,['American (Traditional)'],Clinton Hill,https://www.yelp.com/biz/emily-brooklyn-2?osq=Restaurants
Brooklyn Crab,(718) 643-2722,24 Reed St,993,3,$$,"['Seafood', 'Bars', 'Live/Raw Food']",Red Hook,https://www.yelp.com/biz/brooklyn-crab-brooklyn?osq=Restaurants
Basta Pasta,(212) 366-0888,37 W 17th St,1382,4,$$,['Italian'],Flatiron,https://www.yelp.com/biz/basta-pasta-new-york?osq=Restaurants
Cecconi’s Dumbo,(718) 650-3900,55 Water St,585,3.5,$$$,['Italian'],DUMBO,https://www.yelp.com/biz/cecconis-dumbo-brooklyn?osq=Restaurants
Ippudo NY,65 4th Ave,East Village,9844,4,$$,['Ramen'],East Village,https://www.yelp.com/biz/ippudo-ny-new-york-7?osq=Restaurants
Laojie Hotpot,(718) 431-0026,811 53rd St,495,4.5,$$,['Hot Pot'],Borough Park,https://www.yelp.com/biz/laojie-hotpot-brooklyn-4?osq=Restaurants
Hometown Bar-B-Que,(347) 294-4644,454 Van Brunt St,1280,4,$$,"['Barbeque', 'Smokehouse']",Red Hook,https://www.yelp.com/biz/hometown-bar-b-que-brooklyn-3?osq=Restaurants
Rubirosa,(212) 965-0500,235 Mulberry St,2029,4.5,$$,"['Italian', 'Pizza']",Nolita,https://www.yelp.com/biz/rubirosa-new-york-2?osq=Restaurants
Lolo’s Seafood Shack,(646) 649-3356,303 W 116th St,666,4,$$,"['Seafood', 'Bars']",Harlem,https://www.yelp.com/biz/lolos-seafood-shack-new-york?osq=Restaurants
The River Café,(718) 522-5200,1 Water St,1087,4,$$$$,"['American (New)', 'Wine Bars', 'Venues & Event Spaces']",DUMBO,https://www.yelp.com/biz/the-river-caf%C3%A9-brooklyn-3?osq=Restaurants
Luke’s Lobster FiDi,(212) 747-1700,26 S William St,1112,4.5,$$,['Seafood'],Financial District,https://www.yelp.com/biz/lukes-lobster-fidi-new-york?osq=Restaurants
Gyu-Kaku Japanese BBQ,(646) 692-9115,321 W 44th St,1169,4,$$,"['Japanese', 'Barbeque', 'Asian Fusion']",Midtown West,https://www.yelp.com/biz/gyu-kaku-japanese-bbq-new-york-3?osq=Restaurants
Baodega,(646) 370-6034,7 W 20th St,57,4,-,[],Flatiron,https://www.yelp.com/biz/baodega-new-york?osq=Restaurants
Tabaré,(347) 335-0187,221 S 1st St,623,4,$$,['Latin American'],Williamsburg - South Side,https://www.yelp.com/biz/tabar%C3%A9-brooklyn-2?osq=Restaurants
PMF Pardon My French,(212) 358-9683,103 Ave B,929,4,$$,"['French', 'Cocktail Bars', 'Breakfast & Brunch']",Alphabet City,https://www.yelp.com/biz/pmf-pardon-my-french-new-york?osq=Restaurants
Beco,(718) 599-1645,45 Richardson St,331,4,$$,"['Brazilian', 'Bars']",Williamsburg - North Side,https://www.yelp.com/biz/beco-brooklyn?osq=Restaurants
Naked Dog,(929) 337-8096,47 Java St,187,4.5,$$,"['Italian', 'Wine Bars', 'Cocktail Bars']",Greenpoint,https://www.yelp.com/biz/naked-dog-greenpoint?osq=Restaurants
Jack’s Wife Freda,(212) 510-8550,224 Lafayette St,1822,4,$$,"['Breakfast & Brunch', 'Mediterranean', 'American (New)']",SoHo,https://www.yelp.com/biz/jacks-wife-freda-new-york?osq=Restaurants
Death Ave,(212) 695-8080,315 10th Ave,553,3.5,$$,"['Greek', 'American (New)', 'Gastropubs']",Chelsea,https://www.yelp.com/biz/death-ave-new-york-5?osq=Restaurants
Tableside Italian Cook Shoppe,(646) 852-6498,345 E 6th St,230,4.5,$$$,['Italian'],East Village,https://www.yelp.com/biz/tableside-italian-cook-shoppe-new-york?osq=Restaurants
Steak ‘N Lobster,(212) 564-2929,129 W 29th St,55,4,$$,"['Bars', 'Seafood', 'Steakhouses']",Chelsea,https://www.yelp.com/biz/steak-n-lobster-new-york-2?osq=Restaurants
Khe-Yo,(212) 587-1089,157 Duane St,700,4,$$,['Laotian'],TriBeCa,https://www.yelp.com/biz/khe-yo-new-york?osq=Restaurants
Supper,(212) 477-7600,156 E 2nd St,1253,4,$$,['Italian'],East Village,https://www.yelp.com/biz/supper-new-york?osq=Restaurants
Butcher Bar,(718) 606-8140,37-10 30th Ave,1912,4,$$,"['Barbeque', 'Burgers']",Astoria,https://www.yelp.com/biz/butcher-bar-astoria-2?osq=Restaurants
Claw Daddy’s,(646) 590-6816,185 Orchard St,1537,4,$$,"['Cajun/Creole', 'Seafood']",Lower East Side,https://www.yelp.com/biz/claw-daddys-new-york?osq=Restaurants
Mable’s Smokehouse & Banquet Hall,(718) 218-6655,44 Berry St,812,4,$$,"['Barbeque', 'Bars', 'American (Traditional)']",Williamsburg - North Side,https://www.yelp.com/biz/mables-smokehouse-and-banquet-hall-brooklyn-6?osq=Restaurants
HandCraft Kitchen & Cocktails,(212) 689-3000,367 3rd Ave,365,4,$$,"['Cocktail Bars', 'Gastropubs', 'Comfort Food']",Kips Bay,https://www.yelp.com/biz/handcraft-kitchen-and-cocktails-new-york?osq=Restaurants
Rabbithole Restaurant,(718) 782-0910,352 Bedford Ave,794,4,$$,"['American (New)', 'Breakfast & Brunch', 'Cocktail Bars']",Williamsburg - South Side,https://www.yelp.com/biz/rabbithole-restaurant-brooklyn?osq=Restaurants
Han Dynasty,(212) 390-8685,90 3rd Ave,1183,4,$$,"['Szechuan', 'Bars']",East Village,https://www.yelp.com/biz/han-dynasty-new-york?osq=Restaurants
Jane,(212) 254-7000,100 W Houston St,3095,4,$$,"['Breakfast & Brunch', 'American (New)', 'Bars']",Greenwich Village,https://www.yelp.com/biz/jane-new-york-2?osq=Restaurants
Trading Post,(646) 370-3337,170 John St,403,4,$$,"['American (Traditional)', 'Seafood', 'Cocktail Bars']",South Street Seaport,https://www.yelp.com/biz/trading-post-new-york?osq=Restaurants
Cock & Bull,(212) 819-1900,23 W 45th St,524,4,$$,"['British', 'Pubs', 'Gastropubs']",Midtown West,https://www.yelp.com/biz/cock-and-bull-new-york?osq=Restaurants
Black Tap - Midtown,(212) 315-4356,136 W 55th St,1052,4,$$,"['Burgers', 'Bars']",Midtown West,https://www.yelp.com/biz/black-tap-midtown-new-york-3?osq=Restaurants
Bengal Tiger Indian Food,(212) 265-2703,58 W 56th St,1708,4.5,$$,['Indian'],Midtown West,https://www.yelp.com/biz/bengal-tiger-indian-food-new-york?osq=Restaurants
Jack the Horse Tavern,(718) 852-5084,66 Hicks St,383,4,$$$,"['American (New)', 'Bars']",Brooklyn Heights,https://www.yelp.com/biz/jack-the-horse-tavern-brooklyn?osq=Restaurants
Dar 525,(347) 422-0401,525 Grand St,444,4.5,$$,"['Mediterranean', 'Middle Eastern', 'Kebab']",Williamsburg - North Side,https://www.yelp.com/biz/dar-525-brooklyn?osq=Restaurants
Silver Factory,(347) 725-3017,270 South 5th St,167,4.5,$$,"['Korean', 'Bars']",Williamsburg - South Side,https://www.yelp.com/biz/silver-factory-brooklyn?osq=Restaurants
Bijan’s,(718) 855-5574,81 Hoyt St,516,4,$$,"['American (New)', 'Cocktail Bars', 'Mediterranean']",Boerum Hill,https://www.yelp.com/biz/bijans-brooklyn-2?osq=Restaurants
OBAO,(212) 245-8880,647 9th Ave,2336,4,$$,"['Vietnamese', 'Thai', 'Asian Fusion']",Midtown West,https://www.yelp.com/biz/obao-new-york-3?osq=Restaurants
Carroll Place,(212) 260-1700,157 Bleecker St,1003,4,$$,"['Italian', 'Venues & Event Spaces', 'Cocktail Bars']",Greenwich Village,https://www.yelp.com/biz/carroll-place-new-york?osq=Restaurants
DOMODOMO,(646) 707-0301,140 W Houston St,967,4.5,$$$,"['Japanese', 'Sushi Bars']",Greenwich Village,https://www.yelp.com/biz/domodomo-new-york?osq=Restaurants
Jin Ramen,(646) 657-0755,462 Amsterdam Ave,838,4,$$,['Ramen'],Upper West Side,https://www.yelp.com/biz/jin-ramen-new-york-3?osq=Restaurants
Kitchen 79,(718) 803-6227,37-70 79th St,575,4.5,$$,['Thai'],37-70 79th St,https://www.yelp.com/biz/kitchen-79-jackson-heights?osq=Restaurants
Raku,(212) 989-4797,48 Macdougal St,297,4.5,$$,"['Japanese', 'Noodles']",South Village,https://www.yelp.com/biz/raku-new-york-6?osq=Restaurants
JeJu Noodle Bar,(646) 666-0947,679 Greenwich St,438,4.5,$$,"['Korean', 'Noodles']",West Village,https://www.yelp.com/biz/jeju-noodle-bar-new-york?osq=Restaurants
Westville Dumbo,(718) 618-5699,81 Washington St,254,4,$$,"['American (New)', 'Comfort Food']",DUMBO,https://www.yelp.com/biz/westville-dumbo-brooklyn?osq=Restaurants
The Halal Guys,W 53rd St 6th Ave,Theater District,9249,4,$,"['Food Stands', 'Middle Eastern', 'Halal']",Theater District,https://www.yelp.com/biz/the-halal-guys-new-york-2?osq=Restaurants
La Contenta,(212) 432-4180,102 Norfolk St,704,4.5,$$,"['Mexican', 'Bars', 'Breakfast & Brunch']",Lower East Side,https://www.yelp.com/biz/la-contenta-new-york?osq=Restaurants
Sunday in Brooklyn,(347) 222-6722,348 Wythe Ave,665,4,$$,"['American (New)', 'Breakfast & Brunch', 'Cocktail Bars']",Williamsburg - South Side,https://www.yelp.com/biz/sunday-in-brooklyn-brooklyn-3?osq=Restaurants
Barn Joo,(646) 398-9663,35 Union Sq W,1519,4,$$,"['Korean', 'Barbeque', 'Cocktail Bars']",Union Square,https://www.yelp.com/biz/barn-joo-new-york-3?osq=Restaurants
Duane Park,(212) 732-5555,308 Bowery,438,4,$$$$,"['Supper Clubs', 'Music Venues']",NoHo,https://www.yelp.com/biz/duane-park-new-york-3?osq=Restaurants
IL Brigante,(212) 285-0222,214 Front St,371,4,$$,['Italian'],South Street Seaport,https://www.yelp.com/biz/il-brigante-new-york?osq=Restaurants
Traif,(347) 844-9578,229 S 4th St,1830,4.5,$$$,"['American (New)', 'Tapas/Small Plates']",Williamsburg - South Side,https://www.yelp.com/biz/traif-brooklyn?osq=Restaurants
Serendipity 3,(212) 838-3531,225 E 60th St,4061,3,$$,"['Desserts', 'American (New)']",Upper East Side,https://www.yelp.com/biz/serendipity-3-new-york?osq=Restaurants
